,date,county,state,fips,cases,deaths,county_fips_all,timestamp,cldCvrMin,cldCvrAvg,cldCvrMax,dewPtMin,dewPtAvg,dewPtMax,feelsLikeMin,feelsLikeAvg,feelsLikeMax,heatIndexMin,heatIndexAvg,heatIndexMax,mslPresMin,mslPresAvg,mslPresMax,precip,presTendMin,presTendAvg,presTendMax,radSolarMin,radSolarAvg,radSolarMax,radSolarTot,relHumMin,relHumAvg,relHumMax,sfcPresMin,sfcPresAvg,sfcPresMax,snowDepth,snowfall,spcHumMin,spcHumAvg,spcHumMax,tempMin,tempAvg,tempMax,windChillMin,windChillAvg,windChillMax,windDirAvg,windDir80mAvg,windDir100mAvg,windSpdMin,windSpdAvg,windSpdMax,windSpd80mMin,windSpd80mAvg,windSpd80mMax,windSpd100mMin,windSpd100mAvg,windSpd100mMax,wetBulbMin,wetBulbAvg,wetBulbMax
10,2020-02-03,Cook,Illinois,17031,2,0,17031,2020-02-03,0.0,34.0,100.0,27.4,32.1,36.95,26.8,31.7,39.099999999999994,29.049999999999997,36.25,44.05,1004.75,1007.3499999999999,1009.05,0.0,-1.15,0.0,0.8500000000000001,0.0,127.55000000000001,512.35,3061.05,74.69999999999999,85.15,94.05,979.3,982.2,983.8499999999999,0.05,0.0,3.2,3.9,4.75,29.049999999999997,36.25,44.05,26.8,31.7,39.099999999999994,28.5,32.0,34.0,0.05,6.699999999999999,11.85,2.55,12.399999999999999,20.7,3.0999999999999996,13.0,22.1,28.450000000000003,34.5,40.8
11,2020-02-04,Cook,Illinois,17031,2,0,17031,2020-02-04,0.0,63.0,100.0,18.9,25.450000000000003,32.25,18.75,22.65,28.25,27.9,32.099999999999994,36.25,1008.1,1017.3,1022.75,0.005,-0.35,0.6,1.25,0.0,76.3,370.8,1831.65,67.75,76.4,86.65,983.55,991.4,996.5,0.1,0.035,2.25,3.0,3.9,27.9,32.099999999999994,36.25,18.75,22.65,28.25,19.0,19.5,19.5,6.949999999999999,13.05,17.799999999999997,9.8,20.25,26.0,9.350000000000001,20.4,29.05,25.25,29.85,34.55
12,2020-02-05,Cook,Illinois,17031,2,0,17031,2020-02-05,0.0,61.5,100.0,14.7,18.950000000000003,24.55,15.8,18.95,20.9,24.15,27.15,29.85,1009.25,1017.4,1021.95,0.08,-1.75,-0.5,0.4,0.0,96.5,472.0,2316.05,60.55,71.5,92.65,983.9,991.2,996.05,1.5,0.685,1.85,2.25,2.8,24.15,27.15,29.85,15.8,18.95,20.9,43.0,38.5,44.0,5.45,8.25,10.9,9.65,12.4,15.25,9.65,12.05,16.05,21.7,24.799999999999997,26.55
13,2020-02-06,Cook,Illinois,17031,2,0,17031,2020-02-06,14.5,61.0,100.0,20.8,23.15,24.7,16.55,19.05,22.25,24.5,26.65,29.200000000000003,1003.1500000000001,1005.3499999999999,1008.75,0.16499999999999998,-1.75,-0.3,0.7,0.0,134.75,548.45,3234.6499999999996,75.9,86.75,93.55000000000001,976.8499999999999,979.1500000000001,983.4,3.75,1.4849999999999999,2.5,2.7,2.8499999999999996,24.5,26.65,29.200000000000003,16.55,19.05,22.25,8.0,13.0,18.5,4.55,7.15,11.15,9.8,12.9,17.049999999999997,9.6,12.45,17.75,23.4,25.45,27.05
14,2020-02-07,Cook,Illinois,17031,2,0,17031,2020-02-07,0.0,7.5,61.0,11.95,16.05,21.85,14.1,23.55,30.7,21.65,29.35,36.55,1002.4,1009.45,1015.75,0.005,-0.1,0.5,1.0,0.0,145.55,583.3499999999999,3493.05,36.1,59.55,86.30000000000001,976.8499999999999,982.7,988.95,3.8,0.034999999999999996,1.65,2.0,2.5,21.65,29.35,36.55,14.1,23.55,30.7,292.5,306.0,301.5,2.45,5.75,10.4,5.5,12.0,19.85,6.75,10.95,15.100000000000001,19.7,25.799999999999997,30.6
15,2020-02-08,Cook,Illinois,17031,2,0,17031,2020-02-08,0.0,18.5,57.5,19.95,22.25,24.85,20.95,26.6,30.6,26.6,30.9,35.05,1015.75,1020.6500000000001,1025.05,0.0,-0.15000000000000002,0.4,0.8,0.0,139.89999999999998,540.3,3357.1,55.5,70.65,82.6,989.1,993.75,998.25,1.2,0.0,2.3,2.6,2.8499999999999996,26.6,30.9,35.05,20.95,26.6,30.6,255.0,256.0,256.0,2.0,4.45,7.9,4.8,8.3,14.6,4.800000000000001,7.8,12.85,25.0,28.15,30.9
16,2020-02-09,Cook,Illinois,17031,2,0,17031,2020-02-09,0.0,62.0,100.0,20.6,27.6,34.150000000000006,17.15,23.35,31.4,24.15,30.4,35.05,1012.7,1019.1500000000001,1025.2,0.14500000000000002,-2.6,-0.3,0.9,0.0,104.65,442.05,2512.35,77.1,89.5,96.65,986.55,992.1500000000001,998.5,1.25,1.065,2.4,3.3,4.2,24.15,30.4,35.05,17.15,23.35,31.4,186.0,187.5,192.5,2.7,7.9,13.4,9.600000000000001,15.25,21.75,9.149999999999999,15.850000000000001,22.950000000000003,23.049999999999997,29.45,34.6
17,2020-02-10,Cook,Illinois,17031,2,0,17031,2020-02-10,0.0,67.0,100.0,22.35,24.45,27.450000000000003,16.1,24.15,35.4,24.85,28.6,35.85,1017.0,1020.4,1023.95,0.0,-0.8,0.2,0.9,0.0,111.69999999999999,421.95000000000005,2679.45,69.25,84.55000000000001,92.25,991.1,994.3499999999999,995.95,0.4,0.0,2.6,2.8,3.2,24.85,28.6,35.85,16.1,24.15,35.4,319.0,316.0,319.0,0.15000000000000002,4.3,8.8,0.25,6.1,14.2,0.8500000000000001,6.4,14.75,24.200000000000003,27.2,32.75
18,2020-02-11,Cook,Illinois,17031,2,0,17031,2020-02-11,0.0,20.5,100.0,16.7,20.95,24.6,16.85,21.25,23.65,22.3,27.7,32.0,1019.45,1020.6500000000001,1022.05,0.0,-0.7,0.0,0.6,0.0,152.85000000000002,591.5,3669.3,59.9,76.1,91.35,992.95,994.1500000000001,995.25,0.30000000000000004,0.0,2.0,2.45,2.8,22.3,27.7,32.0,16.85,21.25,23.65,265.5,272.0,277.0,2.8,6.65,14.05,9.100000000000001,13.899999999999999,19.4,10.55,13.25,18.35,20.75,25.6,28.4
19,2020-02-12,Cook,Illinois,17031,2,0,17031,2020-02-12,4.0,85.0,100.0,16.9,24.6,31.0,15.75,25.15,32.35,21.75,29.4,35.55,1010.1500000000001,1015.3,1020.6,0.195,-1.35,-0.5,0.3,0.0,89.55,439.05,2149.25,64.65,82.75,95.35,983.9,989.3,994.7,1.4500000000000002,1.4100000000000001,2.05,2.95,3.75,21.75,29.4,35.55,15.75,25.15,32.35,201.5,207.0,212.0,0.15000000000000002,4.55,9.7,4.25,9.95,14.45,5.25,10.15,16.65,20.450000000000003,27.8,32.05
