Columbia,"34,418","36,856","38,749",,
Conway,"35,872","36,781","38,191",,
Craighead,"35,490","36,323","37,531",,
Crawford,"31,344","32,042","32,952",,
Crittenden,"34,692","35,726","36,978",,
Cross,"32,928","34,595","35,949",,
Dallas,"31,946","33,118","34,645",,
Desha,"35,934","36,384","37,828",,
Drew,"34,408","35,696","37,148",,
Faulkner,"35,446","36,424","37,598",,
Franklin,"31,816","33,010","34,275",,
Fulton,"27,000","27,907","28,994",,
Garland,"37,226","38,629","40,004",,
Grant,"36,261","37,275","38,201",,
Greene,"32,299","33,696","34,895",,
Hempstead,"29,295","31,369","32,515",,
Hot Spring,"28,798","29,686","30,580",,
Howard,"32,696","34,387","35,292",,
Independence,"32,782","33,882","35,086",,
Izard,"28,725","29,374","30,608",,
Jackson,"33,639","34,236","35,880",,
Jefferson,"33,278","34,006","35,356",,
Johnson,"28,041","28,649","28,970",,
Lafayette,"34,601","34,903","36,292",,
Lawrence,"31,810","33,446","35,126",,
Lee,"26,052","26,474","27,619",,
Lincoln,"25,400","25,919","27,002",,
Little River,"33,104","33,525","34,086",,
Logan,"31,925","33,540","34,490",,
Lonoke,"36,977","37,525","38,764",,
Madison,"33,506","36,069","35,496",,
Marion,"28,851","29,517","30,743",,
Miller,"32,193","32,452","33,401",,
Mississippi,"28,609","29,581","31,428",,
Monroe,"31,451","32,110","32,651",,
Montgomery,"27,818","29,778","30,834",,
Nevada,"31,802","33,006","34,180",,
Newton,"27,186","27,645","28,808",,
Ouachita,"33,945","35,026","36,907",,
Perry,"32,600","33,933","34,877",,
Phillips,"28,886","30,148","31,128",,
Pike,"30,388","31,759","33,113",,
Poinsett,"29,462","30,921","32,315",,
Polk,"28,063","29,313","30,751",,
Pope,"33,012","33,972","35,261",,
Prairie,"32,574","34,208","35,935",,
Pulaski,"47,966","49,129","51,185",,
Randolph,"30,281","32,251","33,486",,
St. Francis,"25,970","27,464","27,948",,
Saline,"39,583","40,160","41,397",,
Scott,"28,340","30,330","31,401",,
Searcy,"26,630","27,109","28,511",,
Sebastian,"39,627","40,486","42,110",,
Sevier,"29,445","30,197","31,436",,
Sharp,"30,582","31,022","32,012",,
Stone,"28,461","29,491","31,086",,
Union,"39,569","43,507","46,474",,
Van Buren,"29,480","30,051","31,176",,
Washington,"37,737","39,283","40,247",,
White,"33,214","34,232","35,445",,
Woodruff,"33,231","35,322","37,545",,
Yell,"30,496","32,100","33,320",,
,,,,,
California,"57,739","60,156","63,557",,
Alameda,"67,567","71,560","76,644",,
Alpine,"74,606","68,492","73,307",,
Amador,"42,701","43,405","44,793",,
Butte,"42,015","42,653","44,346",,
Calaveras,"45,703","47,177","49,893",,
Colusa,"45,163","45,475","49,094",,
Contra Costa,"72,483","76,886","82,506",,
Del Norte,"35,868","36,172","37,268",,
El Dorado,"62,864","64,519","67,464",,
Fresno,"40,327","41,137","43,084",,
Glenn,"44,313","44,935","48,613",,
Humboldt,"45,205","46,493","48,739",,
Imperial,"35,406","36,537","36,974",,
Inyo,"57,580","59,340","61,358",,
Kern,"37,920","38,467","39,703",,
Kings,"33,457","34,323","35,306",,
Lake,"40,258","41,460","43,185",,
Lassen,"36,253","36,350","37,844",,
Los Angeles,"57,127","59,058","62,224",,
Madera,"37,209","38,062","39,897",,
Marin,"118,416","124,731","134,275",,
Mariposa,"48,877","50,703","53,143",,
Mendocino,"46,602","47,611","50,150",,
Merced,"36,786","38,037","38,519",,
Modoc,"43,301","43,224","44,822",,
Mono,"46,528","51,584","51,325",,
Monterey,"52,686","53,989","56,193",,
Napa,"67,580","69,791","74,984",,
Nevada,"58,146","58,771","61,799",,
Orange,"63,086","65,709","69,268",,
Placer,"61,838","64,015","66,700",,
Plumas,"49,058","50,905","53,599",,
Riverside,"37,936","38,975","40,637",,
Sacramento,"48,965","50,445","52,544",,
San Benito,"48,634","50,955","53,822",,
San Bernardino,"37,592","38,648","40,316",,
San Diego,"56,322","58,097","61,386",,
San Francisco,"114,697","121,778","130,696",,
San Joaquin,"41,094","42,391","44,995",,
San Luis Obispo,"53,041","55,635","58,491",,
San Mateo,"107,207","117,389","126,392",,
Santa Barbara,"57,432","59,633","62,690",,
Santa Clara,"92,505","100,177","107,877",,
Santa Cruz,"61,166","64,901","69,355",,
Shasta,"43,412","44,480","46,582",,
Sierra,"42,870","44,508","46,615",,
Siskiyou,"42,913","43,652","45,065",,
Solano,"46,999","48,364","51,664",,
Sonoma,"57,566","60,170","64,501",,
Stanislaus,"41,417","42,354","44,120",,
Sutter,"41,972","42,752","44,535",,
Tehama,"38,608","40,374","42,483",,
Trinity,"37,286","37,842","40,640",,
Tulare,"38,198","39,018","40,420",,
Tuolumne,"45,467","46,017","47,838",,
Ventura,"57,136","58,761","61,712",,
Yolo,"51,225","52,207","54,118",,
Yuba,"39,140","39,409","40,929",,
,,,,,
Colorado,"52,262","55,335","58,456",,
Adams,"39,468","41,170","43,315",,
Alamosa,"34,692","35,437","37,351",,
Arapahoe,"55,001","56,789","60,180",,
Archuleta,"40,004","40,753","41,947",,
Baca,"37,660","41,045","40,968",,
Bent,"28,347","26,363","27,574",,
Boulder,"64,875","69,298","73,394",,
Broomfield,"60,403","63,170","66,410",,
Chaffee,"42,419","44,340","46,998",,
Cheyenne,"49,789","56,640","56,699",,
Clear Creek,"56,271","57,914","61,300",,
Conejos,"33,689","34,424","36,894",,
Costilla,"32,046","32,846","34,282",,
Crowley,"22,499","19,263","19,141",,
Custer,"40,092","39,608","41,681",,
Delta,"33,511","36,373","38,855",,
Denver,"63,912","74,396","79,849",,
Dolores,"31,756","33,542","34,935",,
Douglas,"68,525","70,029","73,662",,
Eagle,"67,973","73,114","78,152",,
Elbert,"52,877","54,624","57,334",,
El Paso,"44,858","46,692","48,467",,
Fremont,"32,668","33,558","35,435",,
Garfield,"53,374","55,931","59,653",,
Gilpin,"44,830","45,826","48,128",,
Grand,"44,109","46,817","49,845",,
Gunnison,"43,240","44,676","47,149",,
Hinsdale,"47,152","49,886","50,698",,
Huerfano,"40,006","40,864","42,459",,
Jackson,"43,972","45,186","49,723",,
Jefferson,"57,885","60,206","63,536",,
Kiowa,"50,980","52,095","50,117",,
Kit Carson,"35,270","37,887","37,274",,
Lake,"33,337","34,801","37,106",,
La Plata,"52,412","53,026","55,807",,
Larimer,"48,225","51,497","54,188",,
Las Animas,"37,662","38,267","40,765",,
Lincoln,"25,263","26,641","28,828",,
Logan,"49,807","47,303","48,161",,
Mesa,"39,828","42,239","44,935",,
Mineral,"63,811","66,179","71,095",,
Moffat,"39,176","39,806","42,130",,
Montezuma,"39,596","40,316","42,998",,
Montrose,"36,238","37,663","39,930",,
Morgan,"41,814","42,986","45,685",,
Otero,"35,770","36,194","38,190",,
Ouray,"55,449","56,013","59,639",,
Park,"41,331","43,280","45,113",,
Phillips,"44,075","42,654","44,399",,
Pitkin,"136,366","138,328","149,207",,
Prowers,"40,961","40,067","42,259",,
Pueblo,"36,228","37,540","39,511",,
Rio Blanco,"42,729","44,284","46,809",,
Rio Grande,"43,524","43,609","46,717",,
Routt,"69,428","78,253","83,702",,
Saguache,"30,364","28,846","30,172",,
San Juan,"46,639","45,219","44,029",,
San Miguel,"75,263","80,349","85,432",,
Sedgwick,"48,141","48,630","49,004",,
Summit,"61,033","63,601","67,763",,
Teller,"46,057","47,164","49,197",,
Washington,"40,130","38,071","44,687",,
Weld,"43,632","44,173","46,172",,
Yuma,"52,258","50,062","50,364",,
,,,,,
Connecticut,"69,741","72,213","76,456",,
Fairfield,"107,221","112,769","120,630",,
Hartford,"60,291","61,938","64,853",,
Litchfield,"59,880","61,387","64,949",,
Middlesex,"63,956","65,598","68,673",,
New Haven,"52,621","53,605","56,650",,
New London,"54,805","56,545","59,264",,
Tolland,"53,227","54,193","56,614",,
Windham,"43,740","45,004","47,264",,
,,,,,
Delaware,"48,505","50,350","52,507",,
Kent,"39,074","40,438","42,023",,
New Castle,"51,859","54,198","56,745",,
Sussex,"47,517","48,601","50,333",,
,,,,,
District of Columbia,"77,475","78,969","82,005",,
,,,,,
Florida,"45,684","47,869","50,070",,
Alachua,"40,608","42,455","44,390",,
Baker,"29,613","31,076","32,313",,
Bay,"41,019","41,499","43,231",,
Bradford,"31,464","32,876","33,557",,
Brevard,"41,793","43,371","45,425",,
Broward,"46,394","47,977","50,269",,
Calhoun,"25,059","25,901","26,873",,
Charlotte,"39,292","39,868","41,564",,
Citrus,"35,856","36,614","37,920",,
Clay,"40,743","41,374","42,909",,
Collier,"83,659","87,092","92,686",,
Columbia,"32,408","33,658","35,074",,
DeSoto,"23,274","23,869","23,610",,
Dixie,"25,421","26,862","27,956",,
Duval,"42,326","44,458","46,174",,
Escambia,"39,521","40,825","42,537",,
Flagler,"42,114","44,092","46,220",,
Franklin,"32,661","33,999","35,988",,
Gadsden,"32,160","33,483","35,139",,
Gilchrist,"31,259","33,217","33,774",,
Glades,"22,152","23,510","24,467",,
Gulf,"32,157","33,871","35,701",,
Hamilton,"23,831","25,063","26,016",,
Hardee,"26,913","28,844","28,285",,
Hendry,"29,746","30,693","31,071",,
Hernando,"34,899","35,601","36,878",,
Highlands,"32,174","32,922","33,453",,
Hillsborough,"43,617","45,129","47,000",,
Holmes,"28,049","29,598","30,468",,
Indian River,"69,832","72,149","76,059",,
Jackson,"29,607","30,763","32,106",,
Jefferson,"38,742","39,715","40,736",,
Lafayette,"22,596","24,232","24,148",,
Lake,"39,385","40,613","42,190",,
Lee,"47,574","48,872","51,266",,
Leon,"41,273","42,380","44,482",,
Levy,"32,833","34,477","35,204",,
Liberty,"22,151","23,087","23,582",,
Madison,"29,330","30,499","31,675",,
Manatee,"44,361","45,404","47,378",,
Marion,"34,506","35,719","36,997",,
Martin,"74,666","79,020","83,873",,
Miami-Dade,"43,920","47,813","50,022",,
Monroe,"78,241","84,679","92,119",,
Nassau,"53,450","55,738","57,877",,
Okaloosa,"45,470","47,111","48,875",,
Okeechobee,"29,138","30,568","30,661",,
Orange,"40,750","42,776","44,647",,
Osceola,"31,280","32,315","33,346",,
Palm Beach,"70,241","75,183","79,760",,
Pasco,"38,019","38,917","40,313",,
Pinellas,"48,707","50,917","53,455",,
Polk,"33,333","34,591","35,463",,
Putnam,"29,831","30,823","31,773",,
St. Johns,"61,829","65,660","68,149",,
St. Lucie,"37,426","37,958","39,374",,
Santa Rosa,"41,771","42,972","44,527",,
Sarasota,"58,513","61,378","64,868",,
Seminole,"44,301","46,782","49,049",,
Sumter,"42,126","44,097","46,100",,
Suwannee,"30,649","31,943","33,068",,
Taylor,"27,618","28,878","30,346",,
Union,"19,815","20,756","22,227",,
Volusia,"39,151","40,566","42,374",,
Wakulla,"33,511","35,087","37,026",,
Walton,"55,051","57,822","59,728",,
Washington,"27,636","28,309","29,414",,
,,,,,
Georgia,"42,693","44,536","46,482",,
Appling,"30,860","32,080","33,268",,
Atkinson,"26,599","28,764","30,511",,
Bacon,"31,025","32,775","33,080",,
Baker,"36,061","35,725","38,666",,
Baldwin,"30,637","31,950","33,203",,
Banks,"32,945","35,226","36,276",,
Barrow,"34,232","35,560","36,898",,
Bartow,"36,124","36,844","38,298",,
Ben Hill,"29,201","29,877","31,436",,
Berrien,"28,453","30,179","31,535",,
Bibb,"38,687","39,928","41,709",,
Bleckley,"31,002","32,278","33,672",,
Brantley,"26,424","26,353","27,413",,
Brooks,"32,586","33,137","34,944",,
Bryan,"49,828","50,022","52,456",,
Bulloch,"30,191","30,825","32,382",,
Burke,"33,580","34,394","35,524",,
Butts,"31,207","32,818","34,297",,
Calhoun,"22,951","24,763","24,638",,
Camden,"33,737","34,832","36,113",,
Candler,"27,914","30,023","31,385",,
Carroll,"35,682","36,814","38,571",,
Catoosa,"33,115","34,048","35,158",,
Charlton,"23,420","24,489","24,976",,
Chatham,"43,299","45,061","47,563",,
Chattahoochee,"30,210","30,926","31,115",,
Chattooga,"28,538","29,836","30,946",,
Cherokee,"47,813","49,084","51,137",,
Clarke,"31,736","32,419","33,970",,
Clay,"29,216","29,492","31,520",,
Clayton,"26,702","27,058","28,020",,
Clinch,"35,716","36,580","37,548",,
Cobb,"51,457","54,559","57,162",,
Coffee,"29,215","30,988","32,644",,
Colquitt,"30,034","31,859","32,526",,
