names,coefficients,p_value,variable,percentage,proportion,variable_category,time,family,link,model,outcome,obs,input_n_features,reg_n_features,mse,mae,aic,r2,RMSE,delta_mae_lasso,start_date,end_date,interval,pred_date,outcome_name
snowfall,-19.50069837605964,0.32273568061593216,,0.02975035551163325,0.21834862385321102,Snowfall,2020-05-05 17:09:24.749260,gaussian,identity,0_7_10,Cases,545,14,11,1759.1455118650133,25.884144856967563,1725.2259877674373,0.6049472676349952,41.94216865953659,0.0,0,7,7,10,cases
windSpdMin,6.670589146864014,0.0018573020067681784,,0.09086154895612641,0.998165137614679,Windspdmin,2020-05-05 17:09:24.749260,gaussian,identity,0_7_10,Cases,545,14,11,1759.1455118650133,25.884144856967563,1725.2259877674373,0.6049472676349952,41.94216865953659,0.0,0,7,7,10,cases
cldCvrMin,-0.34180452138028417,0.39668285347552146,,0.030982334534197548,0.7834862385321101,Cldcvrmin,2020-05-05 17:09:24.749260,gaussian,identity,0_7_10,Cases,545,14,11,1759.1455118650133,25.884144856967563,1725.2259877674373,0.6049472676349952,41.94216865953659,0.0,0,7,7,10,cases
past_deaths,4.064541202101476,0.18338997295263904,Deaths,0.038460691183100346,0.5192660550458715,Past,2020-05-05 17:09:24.749260,gaussian,identity,0_7_10,Cases,545,14,11,1759.1455118650133,25.884144856967563,1725.2259877674373,0.6049472676349952,41.94216865953659,0.0,0,7,7,10,cases
precip,85.05278531320197,0.0417418956512759,,0.07126042474039576,0.9431192660550459,Precip,2020-05-05 17:09:24.749260,gaussian,identity,0_7_10,Cases,545,14,11,1759.1455118650133,25.884144856967563,1725.2259877674373,0.6049472676349952,41.94216865953659,0.0,0,7,7,10,cases
spcHumMin,-1.5317550873667687,0.1898174018308001,,0.04347975132045936,1.0,Spchummin,2020-05-05 17:09:24.749260,gaussian,identity,0_7_10,Cases,545,14,11,1759.1455118650133,25.884144856967563,1725.2259877674373,0.6049472676349952,41.94216865953659,0.0,0,7,7,10,cases
parks_percent_change_from_baseline,0.06214346790333174,0.49943561582766305,Percent Change From Baseline,0.021352804714942452,0.5724770642201835,Parks,2020-05-05 17:09:24.749260,gaussian,identity,0_7_10,Cases,545,14,11,1759.1455118650133,25.884144856967563,1725.2259877674373,0.6049472676349952,41.94216865953659,0.0,0,7,7,10,cases
past_cases,2.748426559392445,1.5277423484523497e-50,Cases,0.5332422006457735,1.0,Past,2020-05-05 17:09:24.749260,gaussian,identity,0_7_10,Cases,545,14,11,1759.1455118650133,25.884144856967563,1725.2259877674373,0.6049472676349952,41.94216865953659,0.0,0,7,7,10,cases
grocery_and_pharmacy_percent_change_from_baseline,1.0371631138810784,6.355883697695453e-05,And Pharmacy Percent Change From Baseline,0.11924707917335496,0.1724770642201835,Grocery,2020-05-05 17:09:24.749260,gaussian,identity,0_7_10,Cases,545,14,11,1759.1455118650133,25.884144856967563,1725.2259877674373,0.6049472676349952,41.94216865953659,0.0,0,7,7,10,cases
presTendAvg,-41.691152715621364,0.4826884254407714,,0.021362809220016144,0.3522935779816514,Prestendavg,2020-05-05 17:09:24.749260,gaussian,identity,0_7_10,Cases,545,14,11,1759.1455118650133,25.884144856967563,1725.2259877674373,0.6049472676349952,41.94216865953659,0.0,0,7,7,10,cases
past_deaths,0.507068648598278,1.3698330877697388e-10,Deaths,0.301765092232311,0.5192660550458715,Past,2020-05-05 17:09:38.013872,gaussian,identity,0_7_10,Deaths,545,14,5,1.9449462971587337,0.909622192618895,590.0133863432393,0.47510742525627947,1.3946133145638377,0.0,0,7,7,10,deaths
