names,coefficients,p_value,variable,percentage,proportion,variable_category,time,family,link,model,outcome,obs,input_n_features,reg_n_features,mse,mae,aic,r2,RMSE,delta_mae_lasso
precip,75.51319471267246,0.37823117077782353,,0.04162444946804046,0.8851224105461394,Precip,2020-05-01 05:31:58.314548,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633259,76.12788600136692,2028.7470632805873,0.11028721765010663,112.66934361499253,0.0
presTendAvg,-39.53125625199452,0.6908644959643444,,0.015870715393271017,0.4124293785310734,Prestendavg,2020-05-01 05:31:58.314548,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633259,76.12788600136692,2028.7470632805873,0.11028721765010663,112.66934361499253,0.0
snowfall,22.42662701120439,0.708727853998345,,0.015640431276082008,0.1694915254237288,Snowfall,2020-05-01 05:31:58.314548,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633259,76.12788600136692,2028.7470632805873,0.11028721765010663,112.66934361499253,0.0
parks_percent_change_from_baseline,0.42091476243874926,0.06953969166431635,Percent Change From Baseline,0.07672326198402422,0.5536723163841808,Parks,2020-05-01 05:31:58.314548,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633259,76.12788600136692,2028.7470632805873,0.11028721765010663,112.66934361499253,0.0
cldCvrMin,0.4190457280697326,0.6098988915745069,,0.024920450872051136,0.7137476459510358,Cldcvrmin,2020-05-01 05:31:58.314548,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633259,76.12788600136692,2028.7470632805873,0.11028721765010663,112.66934361499253,0.0
windSpdMin,10.708354622142371,0.0236753583519516,,0.09229260453631284,0.9868173258003766,Windspdmin,2020-05-01 05:31:58.314548,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633259,76.12788600136692,2028.7470632805873,0.11028721765010663,112.66934361499253,0.0
deaths,30.060855498883374,0.004945455330133537,,0.11765553408229128,0.3314500941619586,Deaths,2020-05-01 05:31:58.314548,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633259,76.12788600136692,2028.7470632805873,0.11028721765010663,112.66934361499253,0.0
snowDepth,-6.814034864834058,0.10554809380010655,,0.06977644858117624,0.224105461393597,Snowdepth,2020-05-01 05:31:58.314548,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633259,76.12788600136692,2028.7470632805873,0.11028721765010663,112.66934361499253,0.0
transit_stations_percent_change_from_baseline,-1.822074343066515,0.0006386896681980851,Stations Percent Change From Baseline,0.1468786000158049,0.018832391713747645,Transit,2020-05-01 05:31:58.314548,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633259,76.12788600136692,2028.7470632805873,0.11028721765010663,112.66934361499253,0.0
spcHumMin,-6.487626043100674,0.022859918276739378,,0.09953496586145595,1.0,Spchummin,2020-05-01 05:31:58.314548,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633259,76.12788600136692,2028.7470632805873,0.11028721765010663,112.66934361499253,0.0
grocery_and_pharmacy_percent_change_from_baseline,4.558677998371085,3.765743890925474e-12,And Pharmacy Percent Change From Baseline,0.2990825379294901,0.24858757062146894,Grocery,2020-05-01 05:31:58.314548,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633259,76.12788600136692,2028.7470632805873,0.11028721765010663,112.66934361499253,0.0
