names,coefficients,p_value,variable,percentage,proportion,variable_category,time,family,link,model,outcome,obs,input_n_features,reg_n_features,mse,mae,aic,r2,RMSE,delta_mae_lasso
deaths,30.060855498883377,0.004945455330133537,,0.11765553408229128,0.3314500941619586,Deaths,2020-05-01 05:34:30.231411,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633257,76.12788600136687,2028.7470632805873,0.11028721765010674,112.66934361499253,0.0
grocery_and_pharmacy_percent_change_from_baseline,4.558677998371086,3.765743890925474e-12,And Pharmacy Percent Change From Baseline,0.2990825379294901,0.24858757062146894,Grocery,2020-05-01 05:34:30.231411,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633257,76.12788600136687,2028.7470632805873,0.11028721765010674,112.66934361499253,0.0
snowDepth,-6.814034864834052,0.10554809380010655,,0.06977644858117617,0.224105461393597,Snowdepth,2020-05-01 05:34:30.231411,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633257,76.12788600136687,2028.7470632805873,0.11028721765010674,112.66934361499253,0.0
spcHumMin,-6.487626043100657,0.022859918276739888,,0.09953496586145567,1.0,Spchummin,2020-05-01 05:34:30.231411,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633257,76.12788600136687,2028.7470632805873,0.11028721765010674,112.66934361499253,0.0
transit_stations_percent_change_from_baseline,-1.8220743430665172,0.0006386896681980851,Stations Percent Change From Baseline,0.14687860001580505,0.018832391713747645,Transit,2020-05-01 05:34:30.231411,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633257,76.12788600136687,2028.7470632805873,0.11028721765010674,112.66934361499253,0.0
presTendAvg,-39.53125625199455,0.6908644959643444,,0.015870715393271027,0.4124293785310734,Prestendavg,2020-05-01 05:34:30.231411,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633257,76.12788600136687,2028.7470632805873,0.11028721765010674,112.66934361499253,0.0
cldCvrMin,0.41904572806972756,0.6098988915745069,,0.02492045087205083,0.7137476459510358,Cldcvrmin,2020-05-01 05:34:30.231411,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633257,76.12788600136687,2028.7470632805873,0.11028721765010674,112.66934361499253,0.0
snowfall,22.42662701120446,0.708727853998345,,0.015640431276082053,0.1694915254237288,Snowfall,2020-05-01 05:34:30.231411,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633257,76.12788600136687,2028.7470632805873,0.11028721765010674,112.66934361499253,0.0
precip,75.51319471267286,0.37823117077782353,,0.04162444946804067,0.8851224105461394,Precip,2020-05-01 05:34:30.231411,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633257,76.12788600136687,2028.7470632805873,0.11028721765010674,112.66934361499253,0.0
parks_percent_change_from_baseline,0.4209147624387498,0.06953969166431635,Percent Change From Baseline,0.07672326198402431,0.5536723163841808,Parks,2020-05-01 05:34:30.231411,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633257,76.12788600136687,2028.7470632805873,0.11028721765010674,112.66934361499253,0.0
