names,coefficients,p_value,variable,percentage,proportion,variable_category,time,family,link,model,outcome,obs,input_n_features,reg_n_features,mse,mae,aic,r2,RMSE,delta_mae_lasso,start_date,end_date,interval,pred_date,outcome_name
past_deaths,4.064541202101467,0.18338997295263904,Deaths,0.03846069118310027,0.5192660550458715,Past,2020-05-04 07:55:08.802241,gaussian,identity,0_7_10,Cases,545,14,11,1759.145511865014,25.884144856967566,1725.2259877674373,0.6049472676349951,41.9421686595366,0.0,0,7,7,10,cases
cldCvrMin,-0.3418045213802842,0.39668285347552146,,0.030982334534197558,0.7834862385321101,Cldcvrmin,2020-05-04 07:55:08.802241,gaussian,identity,0_7_10,Cases,545,14,11,1759.145511865014,25.884144856967566,1725.2259877674373,0.6049472676349951,41.9421686595366,0.0,0,7,7,10,cases
grocery_and_pharmacy_percent_change_from_baseline,1.037163113881077,6.355883697695579e-05,And Pharmacy Percent Change From Baseline,0.11924707917335484,0.1724770642201835,Grocery,2020-05-04 07:55:08.802241,gaussian,identity,0_7_10,Cases,545,14,11,1759.145511865014,25.884144856967566,1725.2259877674373,0.6049472676349951,41.9421686595366,0.0,0,7,7,10,cases
spcHumMin,-1.531755087366768,0.1898174018308001,,0.043479751320459344,1.0,Spchummin,2020-05-04 07:55:08.802241,gaussian,identity,0_7_10,Cases,545,14,11,1759.145511865014,25.884144856967566,1725.2259877674373,0.6049472676349951,41.9421686595366,0.0,0,7,7,10,cases
windSpdMin,6.670589146864004,0.001857302006768259,,0.09086154895612628,0.998165137614679,Windspdmin,2020-05-04 07:55:08.802241,gaussian,identity,0_7_10,Cases,545,14,11,1759.145511865014,25.884144856967566,1725.2259877674373,0.6049472676349951,41.9421686595366,0.0,0,7,7,10,cases
past_cases,2.7484265593924477,1.5277423484520874e-50,Cases,0.5332422006457742,1.0,Past,2020-05-04 07:55:08.802241,gaussian,identity,0_7_10,Cases,545,14,11,1759.145511865014,25.884144856967566,1725.2259877674373,0.6049472676349951,41.9421686595366,0.0,0,7,7,10,cases
parks_percent_change_from_baseline,0.062143467903331764,0.49943561582766305,Percent Change From Baseline,0.021352804714942466,0.5724770642201835,Parks,2020-05-04 07:55:08.802241,gaussian,identity,0_7_10,Cases,545,14,11,1759.145511865014,25.884144856967566,1725.2259877674373,0.6049472676349951,41.9421686595366,0.0,0,7,7,10,cases
presTendAvg,-41.691152715621364,0.4826884254407714,,0.021362809220016148,0.3522935779816514,Prestendavg,2020-05-04 07:55:08.802241,gaussian,identity,0_7_10,Cases,545,14,11,1759.145511865014,25.884144856967566,1725.2259877674373,0.6049472676349951,41.9421686595366,0.0,0,7,7,10,cases
snowfall,-19.50069837605962,0.32273568061593216,,0.029750355511633225,0.21834862385321102,Snowfall,2020-05-04 07:55:08.802241,gaussian,identity,0_7_10,Cases,545,14,11,1759.145511865014,25.884144856967566,1725.2259877674373,0.6049472676349951,41.9421686595366,0.0,0,7,7,10,cases
precip,85.05278531320178,0.0417418956512759,,0.07126042474039561,0.9431192660550459,Precip,2020-05-04 07:55:08.802241,gaussian,identity,0_7_10,Cases,545,14,11,1759.145511865014,25.884144856967566,1725.2259877674373,0.6049472676349951,41.9421686595366,0.0,0,7,7,10,cases
past_deaths,0.507068648598278,1.3698330877697388e-10,Deaths,0.301765092232311,0.5192660550458715,Past,2020-05-04 07:55:21.416200,gaussian,identity,0_7_10,Deaths,545,14,5,1.9449462971587337,0.909622192618895,590.0133863432393,0.47510742525627947,1.3946133145638377,0.0,0,7,7,10,deaths
past_cases,0.049149789369979116,2.222509905578055e-34,Cases,0.5997340714628964,1.0,Past,2020-05-04 07:55:21.416200,gaussian,identity,0_7_10,Deaths,545,14,5,1.9449462971587337,0.909622192618895,590.0133863432393,0.47510742525627947,1.3946133145638377,0.0,0,7,7,10,deaths
snowDepth,0.03348125827533305,0.2303456837788016,,0.0543799520317742,0.26605504587155965,Snowdepth,2020-05-04 07:55:21.416200,gaussian,identity,0_7_10,Deaths,545,14,5,1.9449462971587337,0.909622192618895,590.0133863432393,0.47510742525627947,1.3946133145638377,0.0,0,7,7,10,deaths
spcHumMin,-0.02471438467307041,0.3109355153938378,,0.044120884273018475,1.0,Spchummin,2020-05-04 07:55:21.416200,gaussian,identity,0_7_10,Deaths,545,14,5,1.9449462971587337,0.909622192618895,590.0133863432393,0.47510742525627947,1.3946133145638377,0.0,0,7,7,10,deaths
past_deaths,-4.657963283384329,0.08419598131263206,Deaths,0.050745910766627336,0.565377532228361,Past,2020-05-04 07:55:32.611544,gaussian,identity,1_8_11,Cases,543,14,11,8456.555965990956,35.748607752225595,1984.2947660843067,0.4801121706774444,91.95953439416141,0.0,1,8,7,11,cases
cldCvrMin,-0.266650957092659,0.4584531720075332,,0.027753231416223625,0.7734806629834254,Cldcvrmin,2020-05-04 07:55:32.611544,gaussian,identity,1_8_11,Cases,543,14,11,8456.555965990956,35.748607752225595,1984.2947660843067,0.4801121706774444,91.95953439416141,0.0,1,8,7,11,cases
grocery_and_pharmacy_percent_change_from_baseline,0.38702029289146095,0.10154256946389584,And Pharmacy Percent Change From Baseline,0.048136149476197605,0.13443830570902393,Grocery,2020-05-04 07:55:32.611544,gaussian,identity,1_8_11,Cases,543,14,11,8456.555965990956,35.748607752225595,1984.2947660843067,0.4801121706774444,91.95953439416141,0.0,1,8,7,11,cases
spcHumMin,-0.8355977673850296,0.37849125033874365,,0.028552080073621405,1.0,Spchummin,2020-05-04 07:55:32.611544,gaussian,identity,1_8_11,Cases,543,14,11,8456.555965990956,35.748607752225595,1984.2947660843067,0.4801121706774444,91.95953439416141,0.0,1,8,7,11,cases
