names,coefficients,p_value,variable,percentage,proportion,variable_category,time,family,link,model,outcome,obs,input_n_features,reg_n_features,mse,mae,aic,r2,RMSE,delta_mae_lasso,start_date,end_date,interval,pred_date,outcome_name
past_deaths,4.064541202101474,0.18338997295263904,Deaths,0.038460691183100366,0.5192660550458715,Past,2020-05-07 18:15:44.448918,gaussian,identity,0_7_10,Cases,545,14,11,1759.1455118650138,25.884144856967563,1725.2259877674373,0.6049472676349951,41.9421686595366,0.0,0,7,7,10,cases
presTendAvg,-41.69115271562136,0.4826884254407714,,0.021362809220016165,0.3522935779816514,Prestendavg,2020-05-07 18:15:44.448918,gaussian,identity,0_7_10,Cases,545,14,11,1759.1455118650138,25.884144856967563,1725.2259877674373,0.6049472676349951,41.9421686595366,0.0,0,7,7,10,cases
windSpdMin,6.670589146864004,0.001857302006768259,,0.09086154895612636,0.998165137614679,Windspdmin,2020-05-07 18:15:44.448918,gaussian,identity,0_7_10,Cases,545,14,11,1759.1455118650138,25.884144856967563,1725.2259877674373,0.6049472676349951,41.9421686595366,0.0,0,7,7,10,cases
cldCvrMin,-0.3418045213802822,0.39668285347552146,,0.030982334534197402,0.7834862385321101,Cldcvrmin,2020-05-07 18:15:44.448918,gaussian,identity,0_7_10,Cases,545,14,11,1759.1455118650138,25.884144856967563,1725.2259877674373,0.6049472676349951,41.9421686595366,0.0,0,7,7,10,cases
past_cases,2.7484265593924455,1.5277423484522844e-50,Cases,0.5332422006457742,1.0,Past,2020-05-07 18:15:44.448918,gaussian,identity,0_7_10,Cases,545,14,11,1759.1455118650138,25.884144856967563,1725.2259877674373,0.6049472676349951,41.9421686595366,0.0,0,7,7,10,cases
spcHumMin,-1.5317550873667656,0.1898174018308001,,0.04347975132045932,1.0,Spchummin,2020-05-07 18:15:44.448918,gaussian,identity,0_7_10,Cases,545,14,11,1759.1455118650138,25.884144856967563,1725.2259877674373,0.6049472676349951,41.9421686595366,0.0,0,7,7,10,cases
parks_percent_change_from_baseline,0.06214346790333202,0.49943561582766305,Percent Change From Baseline,0.021352804714942573,0.5724770642201835,Parks,2020-05-07 18:15:44.448918,gaussian,identity,0_7_10,Cases,545,14,11,1759.1455118650138,25.884144856967563,1725.2259877674373,0.6049472676349951,41.9421686595366,0.0,0,7,7,10,cases
grocery_and_pharmacy_percent_change_from_baseline,1.0371631138810777,6.355883697695453e-05,And Pharmacy Percent Change From Baseline,0.11924707917335502,0.1724770642201835,Grocery,2020-05-07 18:15:44.448918,gaussian,identity,0_7_10,Cases,545,14,11,1759.1455118650138,25.884144856967563,1725.2259877674373,0.6049472676349951,41.9421686595366,0.0,0,7,7,10,cases
precip,85.05278531320165,0.0417418956512759,,0.07126042474039557,0.9431192660550459,Precip,2020-05-07 18:15:44.448918,gaussian,identity,0_7_10,Cases,545,14,11,1759.1455118650138,25.884144856967563,1725.2259877674373,0.6049472676349951,41.9421686595366,0.0,0,7,7,10,cases
snowfall,-19.5006983760596,0.32273568061593216,,0.029750355511633218,0.21834862385321102,Snowfall,2020-05-07 18:15:44.448918,gaussian,identity,0_7_10,Cases,545,14,11,1759.1455118650138,25.884144856967563,1725.2259877674373,0.6049472676349951,41.9421686595366,0.0,0,7,7,10,cases
spcHumMin,-0.024714384673070407,0.3109355153938378,,0.04412088427301849,1.0,Spchummin,2020-05-07 18:16:29.918373,gaussian,identity,0_7_10,Deaths,545,14,5,1.944946297158734,0.9096221926188948,590.0133863432393,0.47510742525627936,1.3946133145638377,0.0,0,7,7,10,deaths
past_deaths,0.5070686485982778,1.36983308776977e-10,Deaths,0.301765092232311,0.5192660550458715,Past,2020-05-07 18:16:29.918373,gaussian,identity,0_7_10,Deaths,545,14,5,1.944946297158734,0.9096221926188948,590.0133863432393,0.47510742525627936,1.3946133145638377,0.0,0,7,7,10,deaths
past_cases,0.049149789369979095,2.2225099055781194e-34,Cases,0.5997340714628964,1.0,Past,2020-05-07 18:16:29.918373,gaussian,identity,0_7_10,Deaths,545,14,5,1.944946297158734,0.9096221926188948,590.0133863432393,0.47510742525627936,1.3946133145638377,0.0,0,7,7,10,deaths
snowDepth,0.033481258275333034,0.2303456837788016,,0.054379952031774204,0.26605504587155965,Snowdepth,2020-05-07 18:16:29.918373,gaussian,identity,0_7_10,Deaths,545,14,5,1.944946297158734,0.9096221926188948,590.0133863432393,0.47510742525627936,1.3946133145638377,0.0,0,7,7,10,deaths
past_deaths,-4.657963283384333,0.08419598131263206,Deaths,0.050745910766627406,0.565377532228361,Past,2020-05-07 18:17:07.919056,gaussian,identity,1_8_11,Cases,543,14,11,8456.555965990954,35.7486077522256,1984.2947660843067,0.4801121706774445,91.95953439416141,0.0,1,8,7,11,cases
presTendAvg,-4.119319697477891,0.9323292568816759,,0.0025259993934961885,0.3370165745856354,Prestendavg,2020-05-07 18:17:07.919056,gaussian,identity,1_8_11,Cases,543,14,11,8456.555965990954,35.7486077522256,1984.2947660843067,0.4801121706774445,91.95953439416141,0.0,1,8,7,11,cases
windSpdMin,0.4672624845397458,0.8085422063317844,,0.007049746127849988,0.998158379373849,Windspdmin,2020-05-07 18:17:07.919056,gaussian,identity,1_8_11,Cases,543,14,11,8456.555965990954,35.7486077522256,1984.2947660843067,0.4801121706774445,91.95953439416141,0.0,1,8,7,11,cases
