names,coefficients,p_value,variable,percentage,proportion,variable_category,time,family,link,model,outcome,obs,input_n_features,reg_n_features,mse,mae,aic,r2,RMSE,delta_mae_lasso
deaths,30.06085549888338,0.004945455330133537,,0.11765553408229129,0.3314500941619586,Deaths,2020-04-29 19:37:32.581779,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633255,76.12788600136685,2028.7470632805873,0.11028721765010685,112.66934361499251,0.0
snowDepth,-6.814034864834052,0.10554809380010655,,0.06977644858117618,0.224105461393597,Snowdepth,2020-04-29 19:37:32.581779,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633255,76.12788600136685,2028.7470632805873,0.11028721765010685,112.66934361499251,0.0
windSpdMin,10.708354622142389,0.023675358351950195,,0.09229260453631298,0.9868173258003766,Windspdmin,2020-04-29 19:37:32.581779,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633255,76.12788600136685,2028.7470632805873,0.11028721765010685,112.66934361499251,0.0
grocery_and_pharmacy_percent_change_from_baseline,4.558677998371086,3.765743890925474e-12,And Pharmacy Percent Change From Baseline,0.29908253792949013,0.24858757062146894,Grocery,2020-04-29 19:37:32.581779,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633255,76.12788600136685,2028.7470632805873,0.11028721765010685,112.66934361499251,0.0
cldCvrMin,0.41904572806972623,0.6098988915745069,,0.024920450872050755,0.7137476459510358,Cldcvrmin,2020-04-29 19:37:32.581779,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633255,76.12788600136685,2028.7470632805873,0.11028721765010685,112.66934361499251,0.0
spcHumMin,-6.487626043100648,0.022859918276739888,,0.09953496586145553,1.0,Spchummin,2020-04-29 19:37:32.581779,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633255,76.12788600136685,2028.7470632805873,0.11028721765010685,112.66934361499251,0.0
parks_percent_change_from_baseline,0.42091476243875,0.06953969166431635,Percent Change From Baseline,0.07672326198402435,0.5536723163841808,Parks,2020-04-29 19:37:32.581779,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633255,76.12788600136685,2028.7470632805873,0.11028721765010685,112.66934361499251,0.0
presTendAvg,-39.53125625199447,0.6908644959643444,,0.015870715393271,0.4124293785310734,Prestendavg,2020-04-29 19:37:32.581779,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633255,76.12788600136685,2028.7470632805873,0.11028721765010685,112.66934361499251,0.0
transit_stations_percent_change_from_baseline,-1.8220743430665154,0.0006386896681980851,Stations Percent Change From Baseline,0.14687860001580494,0.018832391713747645,Transit,2020-04-29 19:37:32.581779,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633255,76.12788600136685,2028.7470632805873,0.11028721765010685,112.66934361499251,0.0
snowfall,22.426627011204545,0.708727853998345,,0.015640431276082115,0.1694915254237288,Snowfall,2020-04-29 19:37:32.581779,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633255,76.12788600136685,2028.7470632805873,0.11028721765010685,112.66934361499251,0.0
precip,75.51319471267311,0.3782311707777991,,0.04162444946804082,0.8851224105461394,Precip,2020-04-29 19:37:32.581779,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633255,76.12788600136685,2028.7470632805873,0.11028721765010685,112.66934361499251,0.0
deaths,1.4657688731200293,1.6960844793791815e-12,,0.3216229313162475,0.3314500941619586,Deaths,2020-04-29 19:37:39.243373,gaussian,identity,0_4_11,Day 11 Delta Deaths,531,14,9,5.4799718769348935,1.7754955560085242,759.853256771816,-0.04815685776401035,2.3409339753472103,0.0
