names,coefficients,p_value,variable,percentage,proportion,variable_category,time,family,link,model,outcome,obs,input_n_features,reg_n_features,mse,mae,aic,r2,RMSE,delta_mae_lasso
precip,75.51319471267264,0.37823117077782353,,0.041624449468040545,0.8851224105461394,Precip,2020-04-29 20:16:04.372885,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633259,76.12788600136689,2028.7470632805873,0.11028721765010663,112.66934361499253,0.0
spcHumMin,-6.487626043100659,0.022859918276739888,,0.09953496586145566,1.0,Spchummin,2020-04-29 20:16:04.372885,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633259,76.12788600136689,2028.7470632805873,0.11028721765010663,112.66934361499253,0.0
cldCvrMin,0.4190457280697302,0.6098988915745069,,0.02492045087205098,0.7137476459510358,Cldcvrmin,2020-04-29 20:16:04.372885,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633259,76.12788600136689,2028.7470632805873,0.11028721765010663,112.66934361499253,0.0
grocery_and_pharmacy_percent_change_from_baseline,4.558677998371087,3.765743890925474e-12,And Pharmacy Percent Change From Baseline,0.29908253792949,0.24858757062146894,Grocery,2020-04-29 20:16:04.372885,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633259,76.12788600136689,2028.7470632805873,0.11028721765010663,112.66934361499253,0.0
transit_stations_percent_change_from_baseline,-1.8220743430665174,0.0006386896681980851,Stations Percent Change From Baseline,0.14687860001580502,0.018832391713747645,Transit,2020-04-29 20:16:04.372885,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633259,76.12788600136689,2028.7470632805873,0.11028721765010663,112.66934361499253,0.0
snowDepth,-6.814034864834055,0.10554809380010655,,0.06977644858117618,0.224105461393597,Snowdepth,2020-04-29 20:16:04.372885,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633259,76.12788600136689,2028.7470632805873,0.11028721765010663,112.66934361499253,0.0
deaths,30.060855498883395,0.004945455330133537,,0.11765553408229129,0.3314500941619586,Deaths,2020-04-29 20:16:04.372885,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633259,76.12788600136689,2028.7470632805873,0.11028721765010663,112.66934361499253,0.0
windSpdMin,10.708354622142366,0.0236753583519516,,0.09229260453631274,0.9868173258003766,Windspdmin,2020-04-29 20:16:04.372885,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633259,76.12788600136689,2028.7470632805873,0.11028721765010663,112.66934361499253,0.0
parks_percent_change_from_baseline,0.42091476243875,0.06953969166431635,Percent Change From Baseline,0.07672326198402431,0.5536723163841808,Parks,2020-04-29 20:16:04.372885,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633259,76.12788600136689,2028.7470632805873,0.11028721765010663,112.66934361499253,0.0
presTendAvg,-39.531256251994456,0.6908644959643444,,0.015870715393270986,0.4124293785310734,Prestendavg,2020-04-29 20:16:04.372885,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633259,76.12788600136689,2028.7470632805873,0.11028721765010663,112.66934361499253,0.0
snowfall,22.42662701120448,0.708727853998345,,0.015640431276082067,0.1694915254237288,Snowfall,2020-04-29 20:16:04.372885,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633259,76.12788600136689,2028.7470632805873,0.11028721765010663,112.66934361499253,0.0
spcHumMin,-0.15399996884519945,0.004984924783552426,,0.13245885105581146,1.0,Spchummin,2020-04-29 20:16:10.211936,gaussian,identity,0_4_11,Day 11 Delta Deaths,531,14,9,5.4799718769348935,1.7754955560085242,759.853256771816,-0.04815685776401035,2.3409339753472103,0.0
cldCvrMin,0.01840115814998636,0.1808462288374313,,0.061349372242824114,0.7137476459510358,Cldcvrmin,2020-04-29 20:16:10.211936,gaussian,identity,0_4_11,Day 11 Delta Deaths,531,14,9,5.4799718769348935,1.7754955560085242,759.853256771816,-0.04815685776401035,2.3409339753472103,0.0
grocery_and_pharmacy_percent_change_from_baseline,0.04021887895320239,0.0017839205769859918,And Pharmacy Percent Change From Baseline,0.1479287504422989,0.24858757062146894,Grocery,2020-04-29 20:16:10.211936,gaussian,identity,0_4_11,Day 11 Delta Deaths,531,14,9,5.4799718769348935,1.7754955560085242,759.853256771816,-0.04815685776401035,2.3409339753472103,0.0
transit_stations_percent_change_from_baseline,-0.01689867013042516,0.11182847705485177,Stations Percent Change From Baseline,0.07636870871367349,0.018832391713747645,Transit,2020-04-29 20:16:10.211936,gaussian,identity,0_4_11,Day 11 Delta Deaths,531,14,9,5.4799718769348935,1.7754955560085242,759.853256771816,-0.04815685776401035,2.3409339753472103,0.0
deaths,1.4657688731200293,1.6960844793791377e-12,,0.3216229313162476,0.3314500941619586,Deaths,2020-04-29 20:16:10.211936,gaussian,identity,0_4_11,Day 11 Delta Deaths,531,14,9,5.4799718769348935,1.7754955560085242,759.853256771816,-0.04815685776401035,2.3409339753472103,0.0
windSpdMin,0.10140236271422512,0.2833465849355744,,0.04899623611147531,0.9868173258003766,Windspdmin,2020-04-29 20:16:10.211936,gaussian,identity,0_4_11,Day 11 Delta Deaths,531,14,9,5.4799718769348935,1.7754955560085242,759.853256771816,-0.04815685776401035,2.3409339753472103,0.0
parks_percent_change_from_baseline,0.008847909081490727,0.058209536625694155,Percent Change From Baseline,0.09041573978910988,0.5536723163841808,Parks,2020-04-29 20:16:10.211936,gaussian,identity,0_4_11,Day 11 Delta Deaths,531,14,9,5.4799718769348935,1.7754955560085242,759.853256771816,-0.04815685776401035,2.3409339753472103,0.0
presTendAvg,-5.369750361520629,0.006331471945057577,,0.12085941032855924,0.4124293785310734,Prestendavg,2020-04-29 20:16:10.211936,gaussian,identity,0_4_11,Day 11 Delta Deaths,531,14,9,5.4799718769348935,1.7754955560085242,759.853256771816,-0.04815685776401035,2.3409339753472103,0.0
precip,115.63830865145431,0.1798201060296285,,0.05582228169274583,0.8834586466165414,Precip,2020-04-29 20:16:16.254132,gaussian,identity,1_5_12,Day 12 Delta Cases,532,14,11,15077.377392439912,70.33231507229459,2067.2477559000745,0.45541785226910636,122.78997268686035,0.0
spcHumMin,-5.036444064635382,0.07711616256377508,,0.068980479212112,1.0,Spchummin,2020-04-29 20:16:16.254132,gaussian,identity,1_5_12,Day 12 Delta Cases,532,14,11,15077.377392439912,70.33231507229459,2067.2477559000745,0.45541785226910636,122.78997268686035,0.0
cldCvrMin,-0.656292140118196,0.4458249496179879,,0.03393963739458252,0.6879699248120301,Cldcvrmin,2020-04-29 20:16:16.254132,gaussian,identity,1_5_12,Day 12 Delta Cases,532,14,11,15077.377392439912,70.33231507229459,2067.2477559000745,0.45541785226910636,122.78997268686035,0.0
grocery_and_pharmacy_percent_change_from_baseline,2.8480767461475884,1.9565566539380025e-05,And Pharmacy Percent Change From Baseline,0.15681548398374007,0.17669172932330826,Grocery,2020-04-29 20:16:16.254132,gaussian,identity,1_5_12,Day 12 Delta Cases,532,14,11,15077.377392439912,70.33231507229459,2067.2477559000745,0.45541785226910636,122.78997268686035,0.0
snowDepth,-2.2135581377630027,0.6576607150799504,,0.016267771577728497,0.23308270676691728,Snowdepth,2020-04-29 20:16:16.254132,gaussian,identity,1_5_12,Day 12 Delta Cases,532,14,11,15077.377392439912,70.33231507229459,2067.2477559000745,0.45541785226910636,122.78997268686035,0.0
deaths,5.007081028689486,0.6221167212498974,,0.017347617443924865,0.38721804511278196,Deaths,2020-04-29 20:16:16.254132,gaussian,identity,1_5_12,Day 12 Delta Cases,532,14,11,15077.377392439912,70.33231507229459,2067.2477559000745,0.45541785226910636,122.78997268686035,0.0
cases,7.80207846207075,7.2576313861389485e-34,,0.4995465545725454,1.0,Cases,2020-04-29 20:16:16.254132,gaussian,identity,1_5_12,Day 12 Delta Cases,532,14,11,15077.377392439912,70.33231507229459,2067.2477559000745,0.45541785226910636,122.78997268686035,0.0
