names,coefficients,p_value,variable,percentage,proportion,variable_category,time,family,link,model,outcome,obs,input_n_features,reg_n_features,mse,mae,aic,r2,RMSE,delta_mae_lasso
windSpdMin,10.70835462214238,0.0236753583519516,,0.0922926045363129,0.9868173258003766,Windspdmin,2020-05-01 16:00:03.962019,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633259,76.12788600136689,2028.7470632805873,0.11028721765010663,112.66934361499253,0.0
deaths,30.06085549888338,0.004945455330133537,,0.11765553408229128,0.3314500941619586,Deaths,2020-05-01 16:00:03.962019,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633259,76.12788600136689,2028.7470632805873,0.11028721765010663,112.66934361499253,0.0
snowfall,22.426627011204413,0.708727853998345,,0.01564043127608202,0.1694915254237288,Snowfall,2020-05-01 16:00:03.962019,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633259,76.12788600136689,2028.7470632805873,0.11028721765010663,112.66934361499253,0.0
precip,75.5131947126729,0.37823117077782353,,0.0416244494680407,0.8851224105461394,Precip,2020-05-01 16:00:03.962019,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633259,76.12788600136689,2028.7470632805873,0.11028721765010663,112.66934361499253,0.0
parks_percent_change_from_baseline,0.4209147624387496,0.06953969166431635,Percent Change From Baseline,0.07672326198402427,0.5536723163841808,Parks,2020-05-01 16:00:03.962019,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633259,76.12788600136689,2028.7470632805873,0.11028721765010663,112.66934361499253,0.0
cldCvrMin,0.4190457280697266,0.6098988915745069,,0.024920450872050776,0.7137476459510358,Cldcvrmin,2020-05-01 16:00:03.962019,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633259,76.12788600136689,2028.7470632805873,0.11028721765010663,112.66934361499253,0.0
spcHumMin,-6.4876260431006685,0.022859918276739378,,0.09953496586145584,1.0,Spchummin,2020-05-01 16:00:03.962019,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633259,76.12788600136689,2028.7470632805873,0.11028721765010663,112.66934361499253,0.0
transit_stations_percent_change_from_baseline,-1.8220743430665172,0.0006386896681980851,Stations Percent Change From Baseline,0.14687860001580505,0.018832391713747645,Transit,2020-05-01 16:00:03.962019,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633259,76.12788600136689,2028.7470632805873,0.11028721765010663,112.66934361499253,0.0
snowDepth,-6.81403486483405,0.10554809380010655,,0.06977644858117615,0.224105461393597,Snowdepth,2020-05-01 16:00:03.962019,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633259,76.12788600136689,2028.7470632805873,0.11028721765010663,112.66934361499253,0.0
presTendAvg,-39.531256251994556,0.6908644959643444,,0.01587071539327103,0.4124293785310734,Prestendavg,2020-05-01 16:00:03.962019,gaussian,identity,0_4_11,Day 11 Delta Cases,531,14,12,12694.380990633259,76.12788600136689,2028.7470632805873,0.11028721765010663,112.66934361499253,0.0
